country_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NOR,3.527,3.196,3.129,3.425,3.486,4.296,4.68,4.164,3.801,3.684,4.424,4.359,3.231,3.574,4.0
NPL,10.563,10.627,10.632,10.666,10.62,10.643,10.714,10.66,10.593,10.477,13.037,12.241,10.661,10.437,10.5
NRU,,,,,,,,,,,,,,,
NZL,6.557,6.491,6.931,5.839,5.428,5.415,5.147,4.736,4.335,4.109,4.595,3.776,3.299,3.734,4.724
OMN,3.911,3.95,3.753,3.553,3.453,3.403,3.266,2.523,1.8,2.045,2.94,1.9,3.3,3.176,3.203
PAK,0.653,0.796,3.667,2.954,1.827,3.566,2.285,3.204,4.083,4.83,5.994,6.338,5.291,5.237,5.492
PAN,5.845,4.03,3.691,3.674,4.391,4.335,4.717,5.338,5.161,6.256,14.663,10.177,8.086,6.544,8.451
PER,3.6,3.477,3.238,3.575,3.208,3.272,3.741,3.691,3.492,3.379,7.179,5.097,4.291,4.899,5.199
PHL,3.605,3.592,3.504,3.497,3.6,3.068,2.695,2.552,2.338,2.237,2.522,3.398,2.598,2.2,2.202
PLW,,,,,,,,,,,,,,,
PNG,2.002,2.62,2.634,2.698,2.54,2.507,2.478,2.58,2.65,2.651,2.903,3.03,2.689,2.649,2.625
POL,9.578,9.576,10.031,10.293,8.971,7.475,6.141,4.867,3.835,3.267,3.155,3.268,2.811,2.743,2.807
PRI,16.1,15.7,14.5,14.3,13.9,12.0,11.8,10.8,9.2,8.3,8.89,7.9,6.0,5.725,5.639
PRK,3.419,3.516,3.542,3.567,3.509,3.523,3.574,3.498,3.409,3.439,3.624,3.692,3.457,3.463,3.539
PRT,10.771,12.715,15.509,16.237,13.88,12.405,11.058,8.878,6.966,6.422,6.85,6.712,6.138,6.498,6.5
PRY,4.569,4.67,4.085,4.385,5.034,4.556,5.255,6.138,6.217,6.595,7.548,7.311,6.755,5.794,5.686
PSE,21.416,17.597,19.202,19.894,20.526,23.005,23.939,25.677,26.256,25.34,25.895,26.39,24.42,,
PYF,12.133,12.257,12.134,12.027,11.894,11.794,11.727,11.595,11.599,11.591,12.963,12.558,11.793,11.613,11.613
QAT,0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.14,0.14,0.13,0.13,0.13
ROU,6.959,7.177,6.794,7.096,6.802,6.812,5.901,4.927,4.187,3.912,5.035,5.59,5.614,5.589,5.4
RUS,7.407,6.571,5.484,5.513,5.212,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076,2.43
RWA,11.637,11.756,11.671,11.768,11.837,11.831,11.788,11.875,10.759,11.236,11.829,15.775,15.084,12.352,11.331
SAU,5.55,5.77,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008,3.518
SDN,15.168,17.44,16.973,16.273,15.41,14.39,13.656,13.0,12.347,11.697,11.995,11.087,7.53,,
SEN,2.795,2.853,3.896,5.012,5.849,6.757,4.455,4.078,3.453,2.863,3.432,3.436,2.837,2.784,2.788
SGP,4.12,3.89,3.72,3.86,3.74,3.79,4.08,4.2,3.613,3.1,4.1,4.64,3.591,3.444,2.737
SLB,1.617,1.292,0.984,0.694,0.73,0.736,0.736,0.727,0.722,0.746,0.868,0.879,1.475,1.443,1.444
SLE,4.34,4.388,4.378,4.376,4.678,4.483,4.182,3.656,3.192,3.204,3.509,3.551,3.137,3.092,3.103
SLV,4.893,4.297,3.843,3.693,4.154,3.998,4.418,4.385,4.006,4.17,5.008,4.327,2.999,2.992,3.261
SMR,,,,,,,,,,,,,,,
SOM,18.741,18.761,18.771,18.655,18.595,18.495,18.611,18.455,18.7,18.828,19.414,19.662,19.112,18.96,18.949
SRB,19.204,22.959,24.0,22.154,19.223,17.66,15.257,13.477,12.733,10.395,9.011,9.843,8.439,8.268,7.24
SSD,12.473,12.585,12.803,12.665,12.561,12.464,12.854,12.983,12.853,12.656,14.246,13.95,12.475,12.374,
STP,14.628,14.229,13.59,12.476,11.428,10.591,9.684,8.808,8.712,8.835,9.679,9.563,8.964,9.032,9.057
SUR,7.15,7.54,8.1,6.6,6.94,7.22,7.917,7.905,7.817,7.755,8.973,8.706,7.973,7.699,7.621
SVK,14.387,13.634,13.966,14.226,11.536,11.492,9.679,8.142,6.544,5.761,6.719,6.894,6.143,5.843,5.3
SVN,7.236,8.166,8.841,10.103,9.668,8.962,8.0,6.564,5.108,4.446,4.971,4.744,4.011,3.652,3.7
SWE,8.61,7.804,7.976,8.052,7.954,7.432,6.99,6.718,6.365,6.833,8.291,8.803,7.417,7.611,8.4
SWZ,26.856,26.105,25.226,24.556,23.931,23.431,22.718,24.543,26.471,28.222,32.978,34.153,36.472,34.61,34.643
SXM,,,,,,,,,,,,,,,
SYC,,,,,,,,,,,,,,,
SYR,8.61,8.626,13.8,14.5,14.782,14.244,13.798,13.603,13.505,13.369,15.179,14.887,13.245,13.27,13.359
TCA,,,,,,,,,,,,,,,
TCD,0.911,0.92,0.886,0.955,0.984,1.032,1.091,1.132,1.135,1.077,1.695,1.53,1.081,1.059,1.053
TGO,2.379,1.982,2.029,2.084,2.141,2.204,2.968,3.744,2.9,2.036,2.231,2.344,1.965,1.942,1.948
THA,0.622,0.66,0.58,0.249,0.576,0.597,0.688,0.83,0.765,0.716,1.099,1.215,0.94,0.733,0.781
TJK,7.037,7.04,7.022,7.019,7.024,7.033,7.036,7.035,7.028,7.026,7.576,7.687,7.051,7.037,7.041
TKM,4.0,4.003,3.994,3.993,4.005,4.016,4.026,4.035,4.036,4.035,4.489,4.458,4.017,4.007,4.02
TLS,3.301,3.385,3.47,3.57,3.618,3.678,4.657,4.254,3.765,3.148,2.808,2.344,1.537,1.525,1.523
TON,1.501,1.594,1.638,1.75,1.914,2.022,2.048,2.137,2.248,2.165,2.712,2.111,2.002,1.652,1.965
TTO,4.033,3.425,3.718,2.683,2.477,2.428,3.207,3.389,3.497,3.523,4.206,4.446,4.383,3.361,3.318
TUN,13.049,18.334,17.63,15.934,14.259,15.159,15.557,15.33,15.459,17.153,17.651,16.632,15.3,15.106,15.341
TUR,11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.465,9.388,8.8
TUV,,,,,,,,,,,,,,,
TZA,3.03,3.47,3.223,2.93,2.125,2.009,1.931,1.854,1.792,1.735,1.792,1.876,1.573,1.565,1.557
UGA,3.623,3.523,3.551,1.91,2.357,2.681,3.002,3.428,3.249,3.057,3.819,3.416,2.885,2.754,2.74
UKR,8.1,7.851,7.529,7.17,9.27,9.14,9.35,9.5,8.799,8.194,9.475,9.834,,,
URY,7.158,6.307,6.451,6.444,6.547,7.488,7.841,7.89,8.336,8.836,10.413,9.328,7.877,8.355,8.209
USA,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,4.022
UZB,5.36,4.96,4.87,4.86,5.09,5.15,5.16,5.83,5.392,4.936,5.293,5.364,4.456,4.434,4.439
VCT,19.924,20.006,19.833,19.356,19.237,19.135,19.029,19.024,19.005,19.248,20.635,20.356,19.277,18.348,18.093
VEN,7.112,6.902,6.601,7.54,6.821,6.139,5.319,5.045,5.468,5.89,7.53,7.027,5.646,5.407,5.321
VGB,,,,,,,,,,,,,,,
VIR,11.059,11.337,11.387,11.802,11.871,11.649,11.734,11.445,11.703,11.774,14.366,13.508,12.092,11.358,11.423
VNM,1.114,0.999,1.027,1.316,1.256,1.848,1.848,1.874,1.161,1.681,2.103,2.383,1.57,1.645,1.602
VUT,4.681,4.811,4.936,5.038,5.137,5.168,5.197,5.247,5.353,5.444,4.046,4.776,5.077,5.011,4.988
WSM,5.621,5.68,8.752,8.772,8.72,8.901,9.063,9.4,8.649,7.858,7.467,6.664,5.048,4.92,4.855
XKX,,,,,,,,,,,,,,,
YEM,12.777,13.311,13.473,13.673,13.467,17.9,18.42,18.611,17.593,17.213,17.963,18.312,17.224,16.944,16.97
ZAF,24.683,24.639,24.727,24.561,24.89,25.149,26.536,27.035,26.906,28.468,29.217,34.007,33.268,32.098,32.279
ZMB,13.19,10.548,7.85,7.272,6.576,5.951,5.244,4.529,5.032,5.538,6.032,5.197,5.993,5.861,5.898
ZWE,5.469,5.368,5.057,4.948,4.774,5.399,5.896,6.35,6.788,7.373,8.617,9.54,10.087,9.348,9.435
